Yelp URL,Rating,Date,Review Text,image URL,Generated Review
https://www.yelp.com/biz/sidney-dairy-barn-sidney,5,8/7/2021,A delicious treat on a hot day! Staff was very friendly and helpful-- gave us a sample and let us order a little earlier than open.,https://s3-media0.fl.yelpcdn.com/bphoto/ThWSPoGOUkjaljDMq7drMA/348s.jpg,A few words about the dessert.
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,5,4/20/2022,"Pro-tip: Definitely give the rotating ice cream flavors a try - they offer samples! The double scoop is worth the money if you're sharing with someone. Highlights: The female workers the night we went were super nice and so honest with their opinions about the ice cream flavors. They let us sample a few of them and then gave us the biggest double scoop! For sure worth $6. The ice cream itself was insanely good, very creamy, rich, and actually better than a ton of ice cream shops in the area. Lowlights: Some of the ice cream flavors on the menu weren't actually available which was a little disappointing.","https://s3-media0.fl.yelpcdn.com/bphoto/BF8iMGocsJHDmOZC0dZtkQ/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/HoIpxeKJ6aZXlMPhrjPDyw/348s.jpg",i've written a review of the best ice cream in new york city i love the look of this cake!
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,3,7/18/2022,"After seeing some positive reviews about Rewind, I wanted to stop by and check it out for myself. A store that sells boba and ice cream at the same time? Say less and hook me up because I'm coming over at the speed of light. Now onto the review: Dessert/Drink (3/5): For the drink, I got a Blueberry Matcha Latte and I got the Matcha Madness (in a cone) for dessert. Let's start with the drink. As someone who absolutely loves matcha, I knew I had to order this. It is different from most matcha drinks I typically see in which this one comes with blueberry puree. The drink was a good size for what the price was; however, the drink isn't that spectacular. The matcha flavor was nice but the blueberry didn't really add any wow factor to the drink. If anything, I felt as if I couldn't ever taste the blueberry so that was rather disappointing. The Matcha Madness ice cream included the following toppings: two pocky sticks and chocolate shavings. I find that the ice cream itself was pretty smooth and had a really good matcha flavor to it. Only downside was that it was really melty within a minute and the ice cream wasn't as pretty/have a nice swirling effect. Atmosphere (5/5): The establishment was really pretty and I absolutely love the vibe. Decor was pretty minimal but any place that has a neon sign and a grass wall is amazing in my eyes haha. The store was also very clean and neat. Seating was pretty limited as there was only 4 - 5 tables. Service (4/5): Service was alright. I didn't find it to special or felt that workers went out of their way. Did notice that a worker was talking to their buddies when people were waiting to order. Overall, just lack of attention to customers; however, the drink and ice cream came out at a good pace. Overall, Rewind offers customers a good mixture of drinks and ice cream selection to satisfy any sweet cravings. The attention to customer could be improved but timing between order and handout was good. Would I come back? If I was in the area then maybe, but I certainly wouldn't go out of my way to go. Might only get ice cream if I go though as the drink was average.","https://s3-media0.fl.yelpcdn.com/bphoto/xTKZJyVGvUwJWWAI4zmP7A/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/egXVzrnX-drgWkJJxKTZeA/348s.jpg","ice cream with chocolate and caramel sauce ice cream with caramel sauce a chocolate shake with strawberry syrup s topped with chocolate caramel sauce a st It's a fun challenge to see if you can describe the words, ""drink it like itÃ¢Â€Â™s hot"" in your picture"
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,5,1/22/2022,"Great spot to drop by after a long day of volleyball and a good dinner. Convenient that they have boba drinks, ice cream, shakes, etc - something to please everybody! The girls opted for a Taro Milk Tea and the Butterfly Strawberry Lemonade - both with boba. I chose the Chocolate Crumble Ice Cream cone. Everybody was happy with their choices & enjoyed the late night refreshment. If you haven't tried it out & your in the Tempe area, give it a shot & see what you think!","https://s3-media0.fl.yelpcdn.com/bphoto/KSiUQ4_Za3PK_rVY0o-VJQ/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/47z5jwJpxYXFA9SrP5isGw/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/M-12teb-2U-aFCCX5QFw7Q/348s.jpg","a picture of the dessert i went with on saturday for lunch i am going to try a latte at one of these shops in october and the flavors are very good i would like to try it but I can't find anything interesting at the moment, so i just can't get it"
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,4,12/22/2021,Nicely decorated spot for sweets and drinks! Good place to catch up with people or a quick stop to treat yourself. Got Vietnamese Coffee and Tiramisu ice cream and we LOVE the Vietnamese coffee! So good and strong with coffee flavor. Matcha Immuni-Tea: matcha was light but good if you like green tea. Butterfly Rose Lemonade: pretty and a refreshing drink. Would recommend!,"https://s3-media0.fl.yelpcdn.com/bphoto/HptKHsQjesrQ9xIiukf-pg/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/kz39qOYjtanw30kwYBuG-g/348s.jpg","a good place to grab a bite if you're in the area The desserts here are all very creative and interesting, but for me they were a little too over the top with their chocolate and vanilla ice cream"
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,5,9/3/2021,"Rewind has a trendy look, but the beauty isn't just skin deep. This is my go to boba place when I'm in Chandler. Layered drinks like the rose milk latte aren't just eye-catching on Instagram-- they're also delicious! I've tried their milk tea and their fruity tea, and they do both well. I would definitely bring anyone here, because they serve things like ice cream and can please people who don't like/aren't willing to try boba. It's also a little cheaper than some other boba places around here. Every time I've been here, the staff have been exceptionally nice. That, coupled with how quickly they make drinks, is what really makes them a five star establishment in my eyes. They also have a good variety of flavors, including non dairy and caffeine free choices, and the ability to customize sugar levels. Someday I'll get ice cream here, but their tea is so good that I haven't been able to not order it!",https://s3-media0.fl.yelpcdn.com/bphoto/T2fvQw1EaG_zpfwiAZVk7Q/348s.jpg,a picture of a dessert with a cup of coffee in a bowl of coffee
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,3,11/12/2021,"Came here for boba and hmm... their drinks look so cute and all that, but I had thai milk tea with boba and the tea was ok but the boba was undercooked. I feel like even when the tea taste good, if boba is hard and undercooked, I tend to feel that drink isn't good, and I guess that was the case. Although, I came here for ice cream one time, and their ice cream was pretty flavorful, they have some of the very unique flavors, I think I had Vietnamese coffee flavored ice cream and it was pretty good! Probably I'll come back here for the ice cream but not for boba!",https://s3-media0.fl.yelpcdn.com/bphoto/0NFuXUFmSABqFLM1BAXntQ/348s.jpg,a man with a shaved head is eating a hamburger and fries
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,5,11/24/2021,This ice cream was exceptionally good. I would so come back here next time I'm in PHX. Think of getting soft serve ice cream mixed in with you favorite cereal... this is the place to go!,https://s3-media0.fl.yelpcdn.com/bphoto/iFOG9IK9JU2A_bNOGe13TQ/348s.jpg,I was looking for a place to get some cupcakes in the oklahoma area
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,5,3/19/2022,"I love coming here. It's the first boba place I went to after moving to the valley. Their customer service is amazing, everyone is super kind every time. They have so many options. Delicious locally made ice cream with vegan options! The establishment is always clean and picture ready. There's not enough nice things to be said about Rewind.","https://s3-media0.fl.yelpcdn.com/bphoto/vaFgrfXxC7vxFWpoaWNOYA/348s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/hTY1PKg4E29X7FHXZEkOng/348s.jpg","aiya's place is a great one for all kinds of food. i ate here, but i don't really eat ice cream"
https://www.yelp.com/biz/rewind-ice-cream-boba-tea-chandler-3,5,6/2/2021,This place was delicious! They had lots of vegan options. I didn't know vegan ice cream could taste like the real deal. They also had lots of options of non vegan ice cream as well. You can taste test them if you'd like. It's a little pricier but worth it!,https://s3-media0.fl.yelpcdn.com/bphoto/loXBJEJhycWrRjwZxRVBwg/348s.jpg,a dessert on the menu at this ice cream and gelato shop in the heart of downtown san diego
